0	2.67	cpep	0.15
0.15	1.99	cpep	0.15
0.3	2.1	cpep	0.15
0.45	2.09	cpep	0.15
0.6	1.84	cpep	0.15
0.8	2.31	cpep	0.15
5.5	2.76	cpep	0.15
12	3.05	cpep	0.15
21.5	2.42	cpep	0.15
31.5	2.23	cpep	0.15
61	2.52	cpep	0.15
90	2.81	cpep	0.15
120.5	2.71	cpep	0.15
180.5	2.71	cpep	0.15
300.5	2.7	cpep	0.15
0	2	cglcex	0.15
5.5	1.25	cglcex	0.15
13.5	1.31	cglcex	0.15
31	1.28	cglcex	0.15
61	0.86	cglcex	0.15
91	0.59	cglcex	0.15
151	0.096	cglcex	0.15
181	0.043	cglcex	0.15
212.5	0.05	cglcex	0.15
241	0.047	cglcex	0.15
270.5	0.047	cglcex	0.15
301	0.06	cglcex	0.15
0	3.48	cg6p	0.15
0.15	4.39	cg6p	0.15
0.3	4.76	cg6p	0.15
0.45	4.86	cg6p	0.15
0.6	4.65	cg6p	0.15
0.8	4.75	cg6p	0.15
5.5	5.52	cg6p	0.15
12	5.86	cg6p	0.15
21.5	4.39	cg6p	0.15
31.5	3.6	cg6p	0.15
61	3.83	cg6p	0.15
90	4.3	cg6p	0.15
120.5	4.05	cg6p	0.15
180.5	3.27	cg6p	0.15
300.5	3.38	cg6p	0.15
0	2.67	cpyr	0.15
0.15	4.07	cpyr	0.15
0.3	3.71	cpyr	0.15
0.45	3.19	cpyr	0.15
0.6	3.57	cpyr	0.15
0.8	3.14	cpyr	0.15
5.5	2.38	cpyr	0.15
12	3.71	cpyr	0.15
21.5	3.19	cpyr	0.15
31.5	5.24	cpyr	0.15
61	4.47	cpyr	0.15
90	3.62	cpyr	0.15
120.5	3.62	cpyr	0.15
180.5	2.86	cpyr	0.15
300.5	2.4	cpyr	0.15
0	0.6	cf6p	0.15
0.15	0.62	cf6p	0.15
0.3	0.66	cf6p	0.15
0.45	0.74	cf6p	0.15
0.6	0.62	cf6p	0.15
0.8	0.75	cf6p	0.15
5.5	0.92	cf6p	0.15
12	1.15	cf6p	0.15
21.5	0.57	cf6p	0.15
31.5	0.46	cf6p	0.15
61	0.57	cf6p	0.15
90	0.57	cf6p	0.15
120.5	0.69	cf6p	0.15
180.5	0.46	cf6p	0.15
300.5	0.46	cf6p	0.15
0	0.6525	cg1p	0.15
2	1.35	cg1p	0.15
16	0.93	cg1p	0.15
19	0.83	cg1p	0.15
31	0.78	cg1p	0.15
57	0.84	cg1p	0.15
91.5	0.64	cg1p	0.15
150.5	0.74	cg1p	0.15
299	0.7	cg1p	0.15
0	0.81	cpg	0.15
3.5	1.01	cpg	0.15
4	0.92	cpg	0.15
12	1.15	cpg	0.15
12.25	1.19	cpg	0.15
21	1.06	cpg	0.15
25.75	1.1	cpg	0.15
30	1.05	cpg	0.15
32.25	1.8	cpg	0.15
58.5	0.97	cpg	0.15
59	1.01	cpg	0.15
119.75	0.92	cpg	0.15
124	0.89	cpg	0.15
178	0.74	cpg	0.15
180	0.88	cpg	0.15
209	0.8	cpg	0.15
0	0.27	cfdp	0.15
4.5	0.19	cfdp	0.15
11	0.56	cfdp	0.15
20	1	cfdp	0.15
30	2.83	cfdp	0.15
60	1.5	cfdp	0.15
90	2.26	cfdp	0.15
119.5	2.4	cfdp	0.15
180	1.25	cfdp	0.15
239.5	0.07	cfdp	0.15
300	0.02	cfdp	0.15
0	0.22	cgap	0.15
4.5	0.28	cgap	0.15
11	0.32	cgap	0.15
20	0.31	cgap	0.15
30	0.24	cgap	0.15
60	0.3	cgap	0.15
90	0.18	cgap	0.15
119.5	0.22	cgap	0.15
180	0.21	cgap	0.15
239.5	0.22	cgap	0.15
300	0.2	cgap	0.15
